id;customer_id;model;serial_number;status;created_at;installation_date;warranty_until;software_version;notes;supplier;is_mid;mid_initial_verification_date;has_spare_parts_package;placement_line;production_year;mid_last_verification_date;customers;customer_name
"c55fc3f3-64e9-49ee-993e-c03996305462";"b9a7fbf0-3954-4c0e-9d91-214f5c898632";"TEST3";"xxxxxxxx";"OK";"2026-06-11T10:36:56.853536+00:00";"";"";"";"";"";"true";"2025-06-02";"false";"";"";"";"";"Netto Electronics s.r.o"
"6d1aa3f4-07e1-4e26-a243-497a43fd0c74";"9bfa4fe4-878a-408a-ad8a-516331c3bc54";"TQS_HC-M";"5007852";"OK";"2026-06-05T08:16:58.568605+00:00";"2026-03-30";"2028-03-30";"v2.13.1_LM";"Samostatný stroj bez přídavků";"Netto Eletronics";"false";"";"true";"Balírna";"2026";"";"";"ImunomedicA a.s."
"362f85c4-1c52-4cdf-a142-ab62745141e5";"fc35384a-5d50-44e5-bb6f-724e112f0880";"HC-M-MD";"5006962";"OK";"2026-06-10T12:39:13.619922+00:00";"";"";"";"Stav není známý";"Externí";"false";"";"true";"Fosf. soli";"2024";"";"";"Fosfa a.s."
"26a750f7-9e24-44e8-b329-2806f7216cf2";"a232d769-8760-4944-8e0d-ccb6c0346ce7";"CW_HC-A";"1006565";"OK";"2026-06-10T12:48:20.674114+00:00";"2026-06-10";"";"";"Poslední známá zakázka: ZE25-0582";"Netto Electronics";"true";"2025-09-01";"true";"Neznámo";"2014";"";"";"Zentiva k.s."
"ed9c8bf2-37dd-4d90-9be7-8bf05f518be1";"a232d769-8760-4944-8e0d-ccb6c0346ce7";"CW_HC-A";"1006566";"OK";"2026-06-10T12:50:36.973939+00:00";"";"";"";"ZE25-0582";"Netto";"true";"";"true";"Neznámo";"2014";"";"";"Zentiva k.s."
"7f9caf08-caab-43f9-8e90-d36a54efdc8e";"a232d769-8760-4944-8e0d-ccb6c0346ce7";"CW_HC-A";"9005180";"OK";"2026-06-10T12:51:15.803856+00:00";"";"";"";"";"Netto";"true";"";"true";"Neznámo";"2019";"";"";"Zentiva k.s."
"34485645-a4b2-4cc6-bb6f-4a57e527f009";"a232d769-8760-4944-8e0d-ccb6c0346ce7";"CW_HC-A";"9005271";"OK";"2026-06-10T12:52:33.54419+00:00";"";"";"";"";"Netto";"true";"";"true";"Neznámo";"2019";"";"";"Zentiva k.s."
"92cffaca-d941-4b4d-9c26-6554c624abbb";"a232d769-8760-4944-8e0d-ccb6c0346ce7";"CW_HC-A";"9005301";"OK";"2026-06-10T12:53:04.859581+00:00";"";"";"";"";"Netto";"true";"";"true";"";"2019";"";"";"Zentiva k.s."
"12395f89-8580-4c4e-8e68-e8ba5c2df823";"b457c600-186d-459e-9195-3a7754578a23";"HC-IS-D-EX";"1007118";"OK";"2026-06-10T13:05:38.866428+00:00";"";"";"";"Výbušné prostředí";"Netto";"true";"";"true";"Linka 3";"2015";"";"";"Czech Aerosol a.s."
"dd83210b-1648-4313-9a4c-2a236f1acd07";"b457c600-186d-459e-9195-3a7754578a23";"HC-IS-D";"1005147";"OK";"2026-06-10T13:04:37.312023+00:00";"";"";"";"";"Netto";"true";"";"true";"Linka 2";"2011";"";"";"Czech Aerosol a.s."
"53a1c549-3530-418e-b9df-108592c9621d";"b457c600-186d-459e-9195-3a7754578a23";"HC-IS-D-EX";"1006737";"OK";"2026-06-10T13:02:59.77832+00:00";"";"";"";"Výbušné prostředí";"Netto";"true";"";"true";"Linka 1";"2024";"";"";"Czech Aerosol a.s."
"752e38b3-3710-420e-abff-3413910c332e";"dc77981e-a3c8-4e71-9898-7588885a4c30";"HC-M-2000-2";"5005558";"OK";"2026-06-10T12:58:21.916025+00:00";"";"";"";"";"Netto";"false";"";"true";"Neznámo";"2022";"";"";"Lohmann & Rauscher s.r.o."
"71d2695f-88c6-4b38-b260-1beebf93ceff";"fc35384a-5d50-44e5-bb6f-724e112f0880";"HC-M-MD";"5006959";"Porucha";"2026-06-05T08:41:33.175142+00:00";"2024-06-05";"";"";"Metal detektor";"Externí";"false";"";"false";"Výroba fosf. solí";"2024";"";"";"Fosfa a.s."
"ce2b998c-057e-4a60-8bbb-edaa59ed68ab";"b9a7fbf0-3954-4c0e-9d91-214f5c898632";"TEST STROJ";"5006989";"OK";"2026-06-04T11:47:01.43155+00:00";"2026-06-04";"2030-06-05";"Linux v7.1";"nic";"Netto electronics";"true";"2025-06-10";"true";"DEMO";"2026";"2026-06-11";"";"Netto Electronics s.r.o"
"5a730bae-83ba-48dd-b274-6b0b9214dd0f";"b9a7fbf0-3954-4c0e-9d91-214f5c898632";"TEST STROJ 2";"XXXXXXXXXX";"Vyřazeno";"2026-06-11T07:50:53.237158+00:00";"";"";"";"";"NETTO TEST";"true";"2025-06-04";"false";"";"2023";"2026-06-11";"";"Netto Electronics s.r.o"
